tweet_id,favorites,retweets,user_followers,user_favourites,date_time
668291999406125056,251,32,7415093,139459,2015-11-22 04:56:43
668297328638447616,632,307,7415093,139459,2015-11-22 05:17:54
668466899341221888,901,529,7415093,139459,2015-11-22 16:31:42
668480044826800133,472,153,7415093,139459,2015-11-22 17:23:57
668484198282485761,434,242,7415093,139459,2015-11-22 17:40:27
668496999348633600,421,135,7415093,139459,2015-11-22 18:31:19
668507509523615744,333,111,7415094,139459,2015-11-22 19:13:05
668528771708952576,473,232,7415094,139459,2015-11-22 20:37:34
668537837512433665,257,78,7415094,139459,2015-11-22 21:13:35
668542336805281792,472,223,7415094,139459,2015-11-22 21:31:28
668544745690562560,533,236,7415094,139459,2015-11-22 21:41:02
668567822092664832,251,57,7415094,139459,2015-11-22 23:12:44
668614819948453888,622,322,7415094,139459,2015-11-23 02:19:29
668620235289837568,207,44,7415094,139459,2015-11-23 02:41:01
668623201287675904,1473,803,7415094,139459,2015-11-23 02:52:48
668625577880875008,398,138,7415094,139459,2015-11-23 03:02:14
668627278264475648,326,118,7415094,139459,2015-11-23 03:09:00
668631377374486528,736,326,7415094,139459,2015-11-23 03:25:17
668633411083464705,2882,1707,7415094,139459,2015-11-23 03:33:22
668636665813057536,1065,503,7415094,139459,2015-11-23 03:46:18
668641109086707712,1096,556,7415094,139459,2015-11-23 04:03:57
668643542311546881,900,546,7415094,139459,2015-11-23 04:13:37
668645506898350081,916,557,7415094,139459,2015-11-23 04:21:26
668655139528511488,542,225,7415094,139459,2015-11-23 04:59:42
668779399630725120,716,382,7415094,139459,2015-11-23 13:13:28
668815180734689280,583,280,7415094,139459,2015-11-23 15:35:39
668826086256599040,445,142,7415703,139461,2015-11-23 16:18:59
668852170888998912,462,171,7415094,139459,2015-11-23 18:02:38
668872652652679168,542,308,7415094,139459,2015-11-23 19:24:02
668892474547511297,407,155,7415094,139459,2015-11-23 20:42:48
668902994700836864,325,104,7415094,139459,2015-11-23 21:24:36
668932921458302977,273,59,7415094,139459,2015-11-23 23:23:31
668955713004314625,285,74,7415094,139459,2015-11-24 00:54:05
668960084974809088,723,246,7415094,139459,2015-11-24 01:11:27
668975677807423489,1329,602,7415094,139459,2015-11-24 02:13:25
668979806671884288,811,357,7415094,139459,2015-11-24 02:29:49
668981893510119424,551,317,7415094,139459,2015-11-24 02:38:07
668986018524233728,565,173,7415094,139459,2015-11-24 02:54:30
668988183816871936,918,488,7415094,139459,2015-11-24 03:03:06
668989615043424256,695,338,7415094,139459,2015-11-24 03:08:48
668992363537309700,758,358,7415094,139459,2015-11-24 03:19:43
668994913074286592,452,241,7415094,139459,2015-11-24 03:29:51
669000397445533696,21309,6583,7415094,139459,2015-11-24 03:51:38
669006782128353280,590,260,7415094,139459,2015-11-24 04:17:01
669015743032369152,755,384,7415094,139459,2015-11-24 04:52:37
669037058363662336,676,323,7415094,139459,2015-11-24 06:17:19
669203728096960512,1026,495,7415094,139459,2015-11-24 17:19:36
669214165781868544,449,177,7415094,139459,2015-11-24 18:01:05
669216679721873412,1210,414,7415094,139459,2015-11-24 18:11:04
669324657376567296,506,214,7415094,139459,2015-11-25 01:20:08
669327207240699904,586,120,7415094,139459,2015-11-25 01:30:16
669328503091937280,1032,431,7415094,139459,2015-11-25 01:35:25
669351434509529089,449,194,7415094,139459,2015-11-25 03:06:32
669353438988365824,658,266,7415094,139459,2015-11-25 03:14:30
669354382627049472,2772,1309,7415094,139459,2015-11-25 03:18:15
669359674819481600,376,127,7415094,139459,2015-11-25 03:39:17
669363888236994561,640,237,7415094,139459,2015-11-25 03:56:01
669367896104181761,473,164,7415094,139459,2015-11-25 04:11:57
669371483794317312,508,187,7415094,139459,2015-11-25 04:26:12
669375718304980992,1368,754,7415094,139459,2015-11-25 04:43:02
669393256313184256,375,79,7415094,139459,2015-11-25 05:52:43
669564461267722241,395,128,7415094,139459,2015-11-25 17:13:02
669567591774625800,240,59,7415094,139459,2015-11-25 17:25:28
669571471778410496,1618,1050,7415094,139459,2015-11-25 17:40:53
669573570759163904,446,147,7415094,139459,2015-11-25 17:49:14
669583744538451968,1520,960,7415094,139459,2015-11-25 18:29:39
669597912108789760,522,156,7415094,139459,2015-11-25 19:25:57
669603084620980224,963,377,7415094,139459,2015-11-25 19:46:30
669625907762618368,3608,1870,7415094,139459,2015-11-25 21:17:12
669661792646373376,821,455,7415094,139459,2015-11-25 23:39:47
669680153564442624,682,299,7415094,139459,2015-11-26 00:52:45
669682095984410625,361,137,7415094,139459,2015-11-26 01:00:28
669683899023405056,397,114,7415094,139459,2015-11-26 01:07:38
